Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Latitude,Longitude,Death,Cured/Discharged
2020-03-08,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-08,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-08,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-08,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,0
2020-03-08,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-09,Delhi,4,0,0,28.7041,77.1025,0,0
2020-03-09,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-09,Karnataka,1,0,0,15.3173,75.7139,0,0
2020-03-09,Kerala,9,0,3,10.8505,76.2711,0,0
2020-03-09,Maharashtra,2,0,0,19.7515,75.7139,0,0
2020-03-09,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-09,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-09,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-09,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-09,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,0
2020-03-09,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,0
2020-03-09,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-10,Delhi,4,0,0,28.7041,77.1025,0,0
2020-03-10,Haryana,0,2,0,29.0588,76.0856,0,0
2020-03-10,Karnataka,4,0,0,15.3173,75.7139,0,0
2020-03-10,Kerala,15,0,3,10.8505,76.2711,0,0
2020-03-10,Maharashtra,5,0,0,19.7515,75.7139,0,0
2020-03-10,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-10,Rajasthan,1,14,0,27.0238,74.2179,0,0
2020-03-10,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-10,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,0
2020-03-10,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,0
2020-03-10,Uttar Pradesh,7,0,0,26.8467,80.9462,0,0
2020-03-11,Delhi,5,0,0,28.7041,77.1025,0,0
2020-03-11,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-11,Karnataka,4,0,0,15.3173,75.7139,0,0
2020-03-11,Kerala,17,0,3,10.8505,76.2711,0,0
2020-03-11,Maharashtra,10,0,0,19.7515,75.7139,0,0
2020-03-11,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-11,Rajasthan,1,2,0,27.0238,74.2179,0,0
2020-03-11,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-11,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,0
2020-03-11,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,0
2020-03-11,Uttar Pradesh,9,0,0,26.8467,80.9462,0,0
2020-03-12,Andhra Pradesh,1,0,0,15.9129,79.74,0,0
2020-03-12,Delhi,6,0,0,28.7041,77.1025,0,0
2020-03-12,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-12,Karnataka,4,0,0,15.3173,75.7139,1,0
2020-03-12,Kerala,17,0,3,10.8505,76.2711,0,0
2020-03-12,Maharashtra,11,0,0,19.7515,75.7139,0,0
2020-03-12,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-12,Rajasthan,1,2,0,27.0238,74.2179,0,0
2020-03-12,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-12,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,0
2020-03-12,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,0
2020-03-12,Uttar Pradesh,10,1,0,26.8467,80.9462,0,0
2020-03-13,Andhra Pradesh,1,0,0,15.9129,79.74,0,0
2020-03-13,Delhi,6,0,0,28.7041,77.1025,0,0
2020-03-13,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-13,Karnataka,5,0,0,15.3173,75.7139,1,0
2020-03-13,Kerala,17,0,3,10.8505,76.2711,0,0
2020-03-13,Maharashtra,11,0,0,19.7515,75.7139,0,0
2020-03-13,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-13,Rajasthan,1,2,0,27.0238,74.2179,0,0
2020-03-13,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-13,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,0
2020-03-13,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,0
2020-03-13,Uttar Pradesh,10,1,0,26.8467,80.9462,0,0
2020-03-14,Andhra Pradesh,1,0,0,15.9129,79.74,0,0
2020-03-14,Delhi,7,0,0,28.7041,77.1025,1,1
2020-03-14,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-14,Karnataka,6,0,0,15.3173,75.7139,1,0
2020-03-14,Kerala,19,0,0,10.8505,76.2711,0,3
2020-03-14,Maharashtra,14,0,0,19.7515,75.7139,0,0
2020-03-14,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-14,Rajasthan,1,2,0,27.0238,74.2179,0,1
2020-03-14,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-14,Telengana,1,0,0,18.1124,79.0193,0,0
2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,0
2020-03-14,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,0
2020-03-14,Uttar Pradesh,11,1,0,26.8467,80.9462,0,5
2020-03-15,Andhra Pradesh,1,0,0,15.9129,79.74,0,0
2020-03-15,Delhi,7,0,0,28.7041,77.1025,1,2
2020-03-15,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1,0
2020-03-15,Kerala,23,0,0,10.8505,76.2711,0,3
2020-03-15,Maharashtra,32,0,0,19.7515,75.7139,0,0
2020-03-15,Odisha,1,0,0,,,0,0
2020-03-15,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-15,Rajasthan,2,2,0,27.0238,74.2179,0,3
2020-03-15,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-15,Telengana,3,0,0,18.1124,79.0193,0,1
2020-03-15,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,0
2020-03-15,Union Territory of Ladakh,4,0,0,34.2996,78.2932,0,0
2020-03-15,Uttar Pradesh,12,1,0,26.8467,80.9462,0,4
2020-03-15,Uttarakhand,1,0,0,,,0,0
2020-03-16,Andhra Pradesh,1,0,0,15.9129,79.74,0,0
2020-03-16,Delhi,7,0,0,28.7041,77.1025,1,2
2020-03-16,Haryana,0,14,0,29.0588,76.0856,0,0
2020-03-16,Karnataka,6,0,0,15.3173,75.7139,1,0
2020-03-16,Kerala,23,0,0,10.8505,76.2711,0,3
2020-03-16,Maharashtra,32,0,0,19.7515,75.7139,0,0
2020-03-16,Odisha,1,0,0,20.9517,85.0985,0,0
2020-03-16,Punjab,1,0,0,31.1471,75.3412,0,0
2020-03-16,Rajasthan,2,2,0,27.0238,74.2179,0,3
2020-03-16,Tamil Nadu,1,0,0,11.1271,78.6569,0,0
2020-03-16,Telengana,3,0,0,18.1124,79.0193,0,1
2020-03-16,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,0
2020-03-16,Union Territory of Ladakh,4,0,0,34.2996,78.2932,0,0
2020-03-16,Uttar Pradesh,12,1,0,26.8467,80.9462,0,4
2020-03-16,Uttarakhand,1,0,0,30.0668,79.0193,0,0
